timestamp,pre_temperature,pre_humidity,post_water_collected,post_flow_rate,predicted_water_recovery,efficiency_score,recommendation
2026-03-19T00:35:50.228129+00:00,50.32,75.1,4.666,1.063,4.409,0.4409,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228145+00:00,45.46,92.24,6.271,1.246,6.628,0.6628,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228160+00:00,40.74,77.29,5.909,1.215,5.925,0.5925,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228176+00:00,43.57,71.69,4.964,1.04,5.079,0.5079,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228192+00:00,35.05,89.98,7.714,1.588,7.321,0.7321,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228208+00:00,30.18,93.55,8.891,1.8,8.611,0.8611,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228224+00:00,37.2,73.57,5.805,1.157,5.644,0.5644,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228239+00:00,48.34,65.81,4.519,0.985,4.216,0.4216,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228255+00:00,51.68,64.96,4.345,0.847,3.882,0.3882,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228274+00:00,46.29,76.43,5.023,0.958,4.897,0.4897,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228290+00:00,37.17,70.22,5.353,1.128,5.377,0.5377,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228305+00:00,36.57,89.53,7.173,1.426,7.411,0.7411,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228322+00:00,46.02,72.83,5.126,1.058,4.764,0.4764,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228340+00:00,46.48,89.82,5.983,1.181,5.908,0.5908,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228356+00:00,38.78,77.46,5.773,1.11,6.067,0.6067,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228372+00:00,45.26,66.21,4.8,0.997,4.539,0.4539,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228388+00:00,47.74,70.76,4.188,0.834,4.654,0.4654,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228403+00:00,45.95,94.36,6.776,1.418,6.805,0.6805,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228419+00:00,32.95,93.71,7.766,1.5,8.374,0.8374,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228435+00:00,39.12,79.36,6.11,1.303,6.143,0.6143,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228454+00:00,54.11,86.25,4.82,0.881,4.84,0.484,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228484+00:00,42.4,94.49,6.876,1.286,6.94,0.694,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228506+00:00,51.37,79.44,4.638,0.955,4.742,0.4742,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228523+00:00,36.57,61.7,4.582,0.928,4.787,0.4787,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228539+00:00,40.97,85.88,6.551,1.322,6.234,0.6234,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228554+00:00,42.8,60.16,4.382,0.845,4.481,0.4481,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228570+00:00,42.94,83.51,5.644,1.008,6.14,0.614,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228586+00:00,42.97,80.66,5.657,1.117,5.746,0.5746,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228602+00:00,47.9,71.97,4.239,0.883,4.705,0.4705,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228618+00:00,43.31,64.79,4.776,0.869,4.644,0.4644,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228634+00:00,54.24,64.7,4.201,0.785,3.622,0.3622,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228650+00:00,40.65,82.21,6.463,1.276,6.128,0.6128,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228665+00:00,40.49,69.96,5.18,0.951,5.178,0.5178,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228681+00:00,42.39,85.98,6.427,1.299,5.997,0.5997,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228703+00:00,49.18,65.44,4.872,0.995,4.126,0.4126,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228719+00:00,49.08,76.67,5.256,1.025,4.743,0.4743,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228735+00:00,48.95,63.57,3.919,0.763,4.179,0.4179,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228751+00:00,49.76,93.59,5.629,1.087,5.85,0.585,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228766+00:00,40.42,78.06,6.147,1.217,5.94,0.594,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228782+00:00,50.25,84.44,4.978,1.024,5.136,0.5136,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228799+00:00,44.93,63.92,4.09,0.817,4.55,0.455,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228818+00:00,37.18,75.1,5.792,1.107,5.751,0.5751,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228834+00:00,33.6,76.8,6.098,1.293,6.28,0.628,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228850+00:00,39.3,76.13,5.911,1.185,5.749,0.5749,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228866+00:00,46.39,60.32,4.276,0.896,4.16,0.416,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.228882+00:00,50.01,79.92,4.688,0.845,5.044,0.5044,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228897+00:00,53.99,65.7,3.667,0.689,3.675,0.3675,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228913+00:00,39.92,81.12,6.628,1.382,6.098,0.6098,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228929+00:00,48.2,81.03,5.622,1.156,5.348,0.5348,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228944+00:00,46.7,72.13,4.831,0.938,4.827,0.4827,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228960+00:00,53.64,71.1,4.197,0.907,3.933,0.3933,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.228976+00:00,39.53,66.05,5.011,0.937,4.852,0.4852,Conditions are optimal for water recovery.
2026-03-19T00:35:50.228991+00:00,53.99,80.46,4.631,0.939,4.619,0.4619,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.229007+00:00,39.59,69.56,5.029,0.943,5.159,0.5159,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229022+00:00,36.07,60.64,5.145,1.082,4.715,0.4715,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229038+00:00,40.77,79.37,5.98,1.215,5.881,0.5881,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229057+00:00,44.34,94.42,6.474,1.306,6.986,0.6986,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229073+00:00,46.26,74.28,4.801,0.976,4.832,0.4832,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229088+00:00,46.37,93.65,6.134,1.299,6.27,0.627,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229104+00:00,35.69,90.74,7.304,1.455,7.258,0.7258,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229122+00:00,46.98,79.95,4.96,0.973,5.409,0.5409,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229140+00:00,43.37,67.15,5.305,1.044,4.78,0.478,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229159+00:00,53.77,91.06,5.301,1.078,5.515,0.5515,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.229175+00:00,41.46,81.06,5.823,1.14,6.008,0.6008,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229191+00:00,46.39,64.59,4.429,0.907,4.404,0.4404,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229206+00:00,40.09,63.46,4.735,0.951,4.616,0.4616,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229222+00:00,38.29,78.27,5.862,1.17,6.091,0.6091,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229238+00:00,48.62,82.84,4.753,0.853,5.221,0.5221,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229253+00:00,44.48,90.68,6.361,1.32,6.333,0.6333,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229269+00:00,39.53,64.82,5.273,1.033,4.813,0.4813,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229285+00:00,40.83,78.98,5.719,1.146,6.025,0.6025,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229300+00:00,41.62,85.73,6.4,1.203,6.303,0.6303,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229316+00:00,44.26,67.24,4.498,1.003,4.657,0.4657,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229332+00:00,45.35,89.63,5.897,1.199,6.131,0.6131,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229347+00:00,49.94,89.8,6.05,1.236,5.591,0.5591,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229363+00:00,43.41,92.9,6.607,1.293,6.671,0.6671,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229379+00:00,44.15,78.78,5.43,1.09,5.28,0.528,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229397+00:00,50.83,93.36,5.831,1.196,5.853,0.5853,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.229413+00:00,49.7,64.16,4.098,0.864,4.618,0.4618,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229429+00:00,46.45,78.62,5.363,0.926,5.124,0.5124,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229444+00:00,36.38,65.35,5.34,1.01,5.094,0.5094,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229483+00:00,42.58,81.79,5.87,1.194,6.013,0.6013,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229508+00:00,39.99,82.37,6.168,1.165,6.362,0.6362,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229528+00:00,49.62,64.52,3.978,0.79,4.029,0.4029,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229545+00:00,40.0,85.42,6.738,1.327,6.513,0.6513,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229568+00:00,47.32,71.99,4.809,0.999,4.874,0.4874,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229585+00:00,37.98,91.24,6.983,1.372,7.402,0.7402,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229601+00:00,53.97,85.85,4.907,0.999,4.875,0.4875,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.229617+00:00,45.65,74.68,5.056,0.975,5.184,0.5184,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229632+00:00,45.01,63.21,4.546,0.89,4.407,0.4407,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.229648+00:00,38.83,66.92,4.967,0.911,5.03,0.503,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229664+00:00,45.26,69.63,4.663,0.964,4.934,0.4934,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229680+00:00,47.05,78.97,4.594,0.901,5.226,0.5226,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229696+00:00,44.98,71.22,5.254,1.061,4.896,0.4896,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229712+00:00,42.36,90.63,6.826,1.337,6.604,0.6604,Conditions are optimal for water recovery.
2026-03-19T00:35:50.229727+00:00,40.23,79.06,6.116,1.228,5.893,0.5893,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231323+00:00,42.31,92.34,6.372,1.296,6.767,0.6767,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231348+00:00,45.55,76.82,4.815,1.037,5.383,0.5383,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231373+00:00,45.59,80.51,5.43,1.159,5.251,0.5251,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231391+00:00,41.78,60.26,4.064,0.836,4.427,0.4427,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.231407+00:00,44.02,64.05,4.413,0.803,4.708,0.4708,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.231423+00:00,51.6,81.69,4.766,1.025,4.825,0.4825,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.231439+00:00,47.16,69.47,4.622,0.904,4.433,0.4433,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231454+00:00,48.27,74.82,4.659,0.932,4.621,0.4621,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231507+00:00,41.72,94.98,6.899,1.459,7.051,0.7051,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231526+00:00,51.21,76.14,4.828,0.996,4.661,0.4661,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.231543+00:00,48.5,89.12,5.499,1.165,5.773,0.5773,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231564+00:00,43.64,77.19,5.366,1.078,5.573,0.5573,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231580+00:00,43.19,78.68,5.291,1.081,5.604,0.5604,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231597+00:00,43.82,61.22,4.218,0.932,4.408,0.4408,Low humidity in vapor zone. Check for vapor leaks.
2026-03-19T00:35:50.231612+00:00,34.51,88.81,7.191,1.404,7.646,0.7646,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231637+00:00,51.44,69.01,4.2,0.836,4.258,0.4258,High temperature detected. Increase airflow to boost condensation.
2026-03-19T00:35:50.231653+00:00,33.4,67.67,5.471,1.095,5.378,0.5378,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231669+00:00,43.08,66.14,5.015,1.012,4.701,0.4701,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231684+00:00,42.19,75.71,5.504,1.101,5.496,0.5496,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231700+00:00,37.91,67.73,5.148,1.017,5.116,0.5116,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231715+00:00,40.7,89.0,7.138,1.407,6.569,0.6569,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231730+00:00,35.46,69.11,5.276,1.051,5.234,0.5234,Conditions are optimal for water recovery.
2026-03-19T00:35:50.231746+00:00,45.74,69.47,4.837,0.901,5.033,0.5033,Conditions are optimal for water recovery.
